분류,사례수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,국민의당 안철수,그 외 다른 사람,없다,모름/무응답
"전체","(1000)",39,28,5,6,2,13,6
18-29세,(174),26,10,9,14,3,27,11
30-39세,(150),42,18,8,10,3,16,4
40-49세,(185),58,16,3,4,1,10,7
50-59세,(194),43,33,5,5,2,11,3
60-69세,(164),30,50,3,4,1,6,6
70세 이상,(133),31,47,1,2,2,8,9
"서울",(187),36,26,3,10,3,13,9
"인천/경기",(314),42,27,4,7,1,13,6
"대전/세종/충청",(108),42,29,6,2,2,14,6
"광주/전라",(99),65,9,6,3,2,11,4
"대구/경북",(97),24,41,10,9,1,8,7
"부산/울산/경남",(152),29,35,5,5,4,17,6
"강원/제주",(43),30,40,2,7,2,12,7
