분류,사례수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,국민의당 안철수,그 외 다른 사람,없다,모름/무응답
"전체",(1007),35,35,4,9,1,9,7
18-29세,(175),18,32,10,13,2,16,9
30-39세,(152),34,25,3,14,3,12,9
40-49세,(187),45,22,6,12,1,9,5
50-59세,(196),44,36,2,6,0,7,4
60-69세,(164),38,49,1,4,1,4,4
70세 이상,(133),23,52,0,4,1,8,13
"서울",(189),31,34,6,10,1,13,5
"인천/경기",(317),36,34,5,10,2,6,7
"대전/세종/충청",(108),31,38,2,9,2,12,7
"광주/전라",(98),57,15,6,6,1,10,5
"대구/경북",(98),25,56,1,8,0,6,4
"부산/울산/경남",(152),28,37,3,8,1,11,12
"강원/제주",(45),38,36,4,7,2,10,4
