분류,사례수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,국민의당 안철수,그 외 다른 사람,없다,모름/무응답
"전체","(1000)",32,39,5,5,2,12,5
18-29세,(175),24,22,13,8,2,23,8
30-39세,(151),35,28,5,3,3,20,6
40-49세,(185),44,31,4,8,2,7,3
50-59세,(194),42,40,6,2,1,7,3
60-69세,(163),25,56,1,6,1,6,5
70세 이상,(132),21,59,2,2,2,9,5
"서울",(189),27,39,8,3,2,15,6
"인천/경기",(314),33,37,8,6,1,10,5
"대전/세종/충청",(108),26,44,4,6,5,14,1
"광주/전라",(98),66,9,5,3,2,11,4
"대구/경북",(97),24,56,3,5,1,9,3
"부산/울산/경남",(152),27,46,1,7,1,12,7
"강원/제주",(42),29,40,2,2,5,14,7
