분류,사례수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,국민의당 안철수,그 외 다른 사람,없다,모름/무응답
"전체","(1000)",35,34,2,10,1,12,6
18-29세,(175),17,26,6,17,1,22,11
30-39세,(148),39,25,2,8,2,19,6
40-49세,(185),51,21,2,13,1,11,2
50-59세,(194),43,36,2,10,2,5,2
60-69세,(165),31,51,1,8,1,6,3
70세 이상,(133),26,47,0,3,0,8,16
"서울",(187),30,37,2,13,1,12,6
"인천/경기",(316),37,33,2,11,1,11,5
"대전/세종/충청",(108),32,37,4,3,2,15,6
"광주/전라",(99),47,14,2,14,1,12,10
"대구/경북",(97),29,46,0,7,3,9,6
"부산/울산/경남",(151),38,32,3,9,1,13,5
"강원/제주",(42),24,40,2,14,0,12,7
