분류,사례수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,국민의당 안철수,그 외 다른 사람,없다,모름/무응답
"전체",(1000),36,28,2,12,2,14,6
18-29세,(174),21,18,3,17,2,29,10
30-39세,(150),40,16,4,14,4,15,7
40-49세,(185),52,16,2,13,1,12,5
50-59세,(194),46,24,3,10,2,11,4
60-69세,(164),33,43,1,11,1,8,4
70세 이상,(133),21,57,1,5,1,7,7
"서울",(187),40,23,4,10,1,16,6
"인천/경기",(314),40,27,1,12,2,14,5
"대전/세종/충청",(108),32,29,5,14,3,16,2
"광주/전라",(99),62,9,3,7,3,12,4
"대구/경북",(97),18,44,1,14,3,8,12
"부산/울산/경남",(152),27,36,2,13,2,16,5
"강원/제주",(43),28,28,0,16,0,14,14
