분류,사례수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,국민의당 안철수,그 외 다른 사람,없다,모름/무응답
"전체","(1000)",37,28,3,14,1,11,6
18-29세,(174),21,21,9,16,0,22,11
30-39세,(149),37,23,4,14,2,14,6
40-49세,(185),49,17,3,15,2,11,4
50-59세,(194),46,27,2,13,1,9,3
60-69세,(165),33,42,1,14,0,4,5
70세 이상,(133),29,44,0,9,1,8,10
"서울",(187),34,32,4,16,0,9,5
"인천/경기",(316),40,24,3,12,1,15,6
"대전/세종/충청",(108),33,24,6,21,2,6,8
"광주/전라",(99),65,12,2,6,3,6,6
"대구/경북",(97),13,48,0,14,1,13,11
"부산/울산/경남",(151),35,33,4,15,0,9,4
"강원/제주",(42),31,31,2,7,0,21,7
