분류,사례수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,국민의당 안철수,그 외 다른 사람,없다,모름/무응답
"전체","(1000)",32,35,3,5,1,15,8
18-29세,(175),16,20,12,8,3,31,10
30-39세,(151),33,25,3,5,3,22,11
40-49세,(185),52,23,2,5,1,11,5
50-59세,(194),37,39,2,6,2,9,4
60-69세,(163),31,51,1,1,1,9,6
70세 이상,(132),21,58,0,3,0,8,11
"서울",(189),30,39,5,3,2,15,8
"인천/경기",(314),38,31,4,6,2,12,7
"대전/세종/충청",(108),28,36,1,8,1,20,5
"광주/전라",(98),60,10,4,0,1,19,6
"대구/경북",(97),16,58,2,3,0,15,7
"부산/울산/경남",(152),21,40,3,6,3,14,12
"강원/제주",(42),33,36,2,5,0,19,5
