분류,사례수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,국민의당 안철수,그 외 다른 사람,없다,모름/무응답
"전체","(1000)",34,33,3,12,1,12,5
18-29세,(174),16,28,9,15,1,23,9
30-39세,(149),23,30,7,13,1,17,9
40-49세,(185),50,22,0,15,2,8,3
50-59세,(194),44,29,2,13,2,9,1
60-69세,(165),36,47,1,9,1,5,1
70세 이상,(133),30,46,1,7,2,9,5
"서울",(187),30,38,6,10,0,11,4
"인천/경기",(316),37,27,2,14,2,13,6
"대전/세종/충청",(108),31,41,1,14,0,10,4
"광주/전라",(99),67,8,2,10,1,5,7
"대구/경북",(97),15,47,5,13,2,14,3
"부산/울산/경남",(151),25,42,3,11,2,15,2
"강원/제주",(42),36,26,5,14,2,12,5
