분류,사례수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,국민의당 안철수,그 외 다른 사람,없다,모름/무응답
"전체","(1000)",35,29,4,6,1,16,9
18-29세,(174),21,18,9,12,0,29,10
30-39세,(150),31,19,4,10,1,23,11
40-49세,(185),57,15,4,4,1,12,7
50-59세,(194),50,26,4,1,3,9,6
60-69세,(164),23,55,3,5,1,8,5
70세 이상,(133),24,45,0,5,1,13,13
"서울",(187),31,37,2,8,2,14,6
"인천/경기",(314),40,27,5,6,1,16,6
"대전/세종/충청",(108),34,26,9,8,2,14,6
"광주/전라",(99),53,4,3,4,3,18,15
"대구/경북",(97),22,43,3,3,0,15,14
"부산/울산/경남",(152),33,29,4,5,1,15,12
"강원/제주",(43),27,33,5,5,2,19,9
