분류,사례수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,국민의당 안철수,그 외 다른 사람,없다,모름/무응답
"전체",(1000),38,36,3,4,2,10,7
18-29세,(174),20,28,8,8,1,25,10
30-39세,(150),45,23,4,6,2,13,7
40-49세,(185),54,18,3,3,7,7,8
50-59세,(194),49,39,3,1,2,6,1
60-69세,(164),32,54,1,1,1,4,7
70세 이상,(133),20,58,1,3,0,8,10
"서울",(187),33,39,6,5,2,8,7
"인천/경기",(314),41,35,3,3,2,10,5
"대전/세종/충청",(108),33,38,2,4,2,15,5
"광주/전라",(99),63,11,4,3,1,6,12
"대구/경북",(97),18,55,3,0,2,16,6
"부산/울산/경남",(152),35,37,1,4,3,12,8
"강원/제주",(43),40,33,7,2,5,2,12
