분류,사례수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,국민의당 안철수,그 외 다른 사람,없다,모름/무응답
"전체","(1000)",35,36,4,5,2,13,5
18-29세,(175),18,20,13,11,2,28,9
30-39세,(151),30,28,5,8,2,19,8
40-49세,(185),56,23,2,3,2,11,3
50-59세,(194),48,35,3,3,3,7,2
60-69세,(163),26,58,2,5,1,4,4
70세 이상,(132),24,61,2,2,1,6,5
"서울",(189),30,39,4,7,1,15,4
"인천/경기",(314),36,39,4,5,2,12,3
"대전/세종/충청",(108),34,38,3,6,0,13,7
"광주/전라",(98),60,11,8,3,2,11,5
"대구/경북",(97),25,47,3,4,2,11,7
"부산/울산/경남",(152),29,35,7,6,3,12,8
"강원/제주",(42),31,40,7,7,0,10,5
